,I can easily log-in and log-out my Canvas account.,I can easily log-in and log-out my Canvas account. (Please write your views relating your answer above.),I can access my course using the mobile Canvas app. ,I can access my course using the mobile Canvas app. (Please write your views about this relating to your answer above.),I can access my course using the mobile Canvas app. .1,I can access my course using the mobile Canvas app. (Please write your views about this relating to your answer above.).1,I can access my Canvas account using the available computers in JRU.,I can access my Canvas account using the available computers in JRU. (Please write your views about this relating to your answer above.),I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. ,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. (Please write your views about this relating to your answer above.),I can easily get help when I have problems with my Canvas account.,I can easily get help when I have problems with my Canvas account. (Please write your views about this relating to your answer above.),I can access my Canvas account outside JRU. ,I can access my Canvas account outside JRU. (Please write your views about this relating to your answer above.),I can clearly understand the lessons on my Canvas modules. ,I can clearly understand the lessons on my Canvas modules. (Please write your views about this relating to your answer above.),I recognize that the modules in my course are well organized.,I recognize that the modules in my course are well organized. (Please write your views about this relating to your answer above.),I can easily manage the navigation of the courses through the desktop version. ,I can easily manage the navigation of the courses through the desktop version. .1,I can easily manage the navigation of the courses through the mobile app.,I can easily manage the navigation of the courses through the mobile app. (Please write your views about this relating to your answer above.),I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content. (Please write your views about this relating to your answer above.),I understand the lessons better with the help of course materials in Canvas. ,I understand the lessons better with the help of course materials in Canvas. (Please write your views about this relating to your answer above.),Canvas course materials make me interested.,Canvas course materials make me interested. (Please write your views about this relating to your answer above.),The course materials on Canvas helped me prepare for: [Face to Face discussions],The course materials on Canvas helped me prepare for: [Quizzes],The course materials on Canvas helped me prepare for: [Prelim/Mid-term/Final Exam],"The course materials on Canvas helped me prepare for: [Other Tasks (Assignments, Forums, etc.)]","The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc. (Please write your views about this relating to your answer above.)",My instructor knows how to use Canvas.,My instructor knows how to use Canvas. (Please write your views about this relating to your answer above.),My instructor demonstrated mastery of the subject matter.,My instructor demonstrated mastery of the subject matter. (Please write your views about this relating to your answer above.),My instructor encourages me to use Canvas.,My instructor encourages me to use Canvas. (Please write your views about this relating to your answer above.),Canvas has made it easy for me to: [Communicate with my instructor],Canvas has made it easy for me to: [Receive class announcements],Canvas has made it easy for me to: [Share ideas on group discussions],"Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions","I can answer the assessment materials (quiz, exam) posted in Canvas.","I can answer the assessment materials (quiz, exam) posted in Canvas. (Please write your views about this relating to your answer above.)",I find the course materials on Canvas aligned with the: [Quizzes],"I find the course materials on Canvas aligned with the: [Major (Prelim, Mideterm, Final) Exam]","I find the course materials on Canvas aligned with the: [Other tasks (Assignements, Forums, etc.)]","I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.) (Please write your views about this relating to your answer above.)",I have been give enough time to accomplish the activities on Canvas.,I have been give enough time to accomplish the activities on Canvas. (Please write your views about this relating to your answer above.)
10,Strongly Agree,I don't problem in log in and lagout,Strongly Agree,I can easily access ,Strongly Agree,I can easily access,Strongly Agree,I can easily access,Strongly Agree,I have no any issues,Strongly Agree,"I can easily get help
",Strongly Agree,I can easily access,Strongly Agree,I can clearly understand,Strongly Agree,I can easily recognize,Strongly Agree,I can easily managae,Strongly Agree,I can easily manage,Strongly Agree,Yes I noticed that.,Strongly Agree,I understand alot.,Strongly Agree,The module of lectures,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very helpul to prepare.,Strongly Agree,Yes they know how to use it.,Strongly Agree,Sometimes but not all the meetings.,Strongly Agree,"Yes, especially to read the modules.",Strongly Agree,Strongly Agree,Strongly Agree,Easily used for students.,Strongly Agree,I can answer easily.,Strongly Agree,Strongly Agree,Strongly Agree,Yes I find id easily.,Strongly Agree,Yes especially at weekends.
11,Strongly Agree,i have no problems in logging in,Strongly Agree,i have no problems accessing mobile canvas apps,Strongly Agree,i have no problems using mobile canvas app,Strongly Agree,i have no problems accessing canvas account,Strongly Agree,i have no issues accessing my canvas,Strongly Agree,i can easily get help,Disagree,sometimes i cannot access my canvas in computer shop,Strongly Agree,i can clearly understand the lessons on canvas,Strongly Agree,i have no problem recognize the module,Strongly Agree,i have no problem manage the navigation,Strongly Agree,i can easily no problem manage the navigation,Strongly Agree,no problem about connection,Strongly Agree,i understand all the lessons better,Strongly Agree,i am more interesting using canvas,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,it helps me prepare ,Strongly Agree,My instructor knows how to use Canvas,Strongly Agree,My instructor demonstrated mastery of the subject matter,Strongly Agree,My instructor encourages me to use Canvas,Strongly Agree,Strongly Agree,Strongly Agree,Canvas has made it easy for me to,Strongly Agree,I can answer the assessment materials,Strongly Agree,Strongly Agree,Strongly Agree,yes perfectly,Strongly Agree,I have been give enough time to accomplish the activities on Canvas.
12,Strongly Agree,I have no problems when it comes to logging in and out on my canvas,Strongly Agree,I have no problems when I'm using canvas app in my phone,Strongly Agree,I have no problems when I'm using canvas app in my phone,Strongly Agree,I have no problems when I access my canvas account using computers in JRU,Strongly Agree,I have no issues with it,Strongly Agree,I have no issues with it,Strongly Agree,I have no problem with it,Strongly Agree,I have no problems with it,Strongly Agree,I can access modules in every subject,Strongly Agree,I have no issues with it,Strongly Agree,I have no issues with it,Strongly Agree,I have no issues with it because we tackle this during face to face discussion,Strongly Agree,It's a big help for us,Strongly Agree,It help me a lot,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It's a big help,Strongly Agree,All of them know how to used it,Strongly Agree,They know a lot,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Strongly Agree,It's convenient,Strongly Agree,It's agreat help,Strongly Agree,Strongly Agree,Strongly Agree,It's a great help,Strongly Agree,It takes time a week to submit all of our activities
13,Strongly Agree,i have no problem log in ,Strongly Agree,yes i can access my course using the mobile app,Strongly Agree,yes i can access my course using the mobile app,Strongly Agree,yes i can access my canvas account using the available computers,Strongly Agree,yes no issues,Strongly Agree,yes i can easily get help,Strongly Agree,yes I can access my Canvas account outside JRU,Strongly Agree,yes I can clearly understand the lessons on my Canvas modules.,Strongly Agree,yes i recognize ,Strongly Agree,yes i can easily manage,Strongly Agree,yes i can easily manage,Disagree,no,Strongly Agree,yes i understand ,Strongly Agree,yes make me interested,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes can  canvas helped me prepare,Strongly Agree,yes ,Strongly Agree,yes,Strongly Agree,yes i encourages me to use Canvas,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes I can answer the assessment materials,Strongly Agree,Strongly Agree,Strongly Agree,yes I find the course materials on Canvas,Strongly Agree,yes
14,Strongly Agree,i have no problem to log in,Agree,Sometimes i cant access,Agree,Sometimes i cant access,Strongly Agree,i can acces My canvas using free lab,Strongly Agree,i have no issues,Strongly Agree,i can easily get help when i have a problem in my canvas,Strongly Agree,i can acces my canvas outside jrui c,Strongly Agree,i can undestand clearly,Strongly Agree,i recognize,Strongly Agree,I can easily manage the navigation of my courses ,Strongly Agree,I can easily manage the navigation of my courses,Strongly Agree,i have no problem for this,Strongly Agree,I understand the lessons better ,Strongly Agree,Canvas course materials make me interested,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,course materials on Canvas helped me prepare for: Face to face discussions,Strongly Agree,yes she is better,Strongly Agree,My instructor demonstrated mastery of the subject matter,Strongly Agree,My instructor encourages me to use Canvas,Strongly Agree,Strongly Agree,Strongly Agree,"Canvas has made it easy for me to: communicate with my instructor, receive class announcements",Strongly Agree,I can answer the assessment materials,Strongly Agree,Strongly Agree,Strongly Agree,I find the course materials on Canvas aligned with the,Strongly Agree,I have been give enough time to accomplish the activities on Canvas
15,Strongly Agree,I have no problems in logging in  and logging out,Strongly Agree,I have no problems in logging in and logging out.,Strongly Agree,I can easily acceess my course in mobile app.,Strongly Agree,Yes i can access my Canvas account using the available computers in JRU ,Strongly Agree,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,Strongly Agree,I can easily get help when I have problems with my Canvas account.,Strongly Agree,I can access my Canvas account outside JRU.,Strongly Agree,I can clearly understand the lessons on my Canvas modules.,Strongly Agree,I recognize that the modules in my course are well organized.,Strongly Agree,I can easily manage the navigation of the courses through the desktop version.,Strongly Agree,I can easily manage the navigation of the courses through the mobile app,Strongly Agree,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,Strongly Agree,I understand the lessons better with the help of course materials in Canvas.,Strongly Agree,Canvas course materials make me interested.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,it makes me prepare for anything.,Strongly Agree,My instructor knows how to use Canvas.,Strongly Agree,My instructor demonstrated mastery of the subject matter.,Strongly Agree,My instructor encourages me to use Canvas.,Agree,Strongly Agree,Strongly Agree,Canvas has made it easy for me to have communication.,Strongly Agree,"I can answer the assessment materials (quiz, exam) posted in Canvas.",Strongly Agree,Strongly Agree,Strongly Agree,I find the course materials on Canvas aligned with everything,Strongly Agree,I have been give enough time to accomplish the activities on Canvas.
16,Strongly Agree,yes it easily log-in and log-out my account in canvas,Strongly Agree,I really can access my course using the mobile phone app,Strongly Agree,"i can access my course using the mobile canvas app.
and i can manage everything.",Strongly Agree,"Yes i can access my canvas account using available computer in JRU.
and easily to use it.",Strongly Agree,i have no issues accessing my canvas account using the wired internet connection in the computer laboratories.,Strongly Agree,i can easily get help when i have no problem with my canvas account ,Strongly Agree,i can access my canvas account outside the JRU. ,Strongly Agree,i can clearly understand the lessons on my canvas modules.,Strongly Agree,i recognize that he modules in my course are well organized. ,Strongly Agree,i really can easily manage the navigation of the course through the desktop version,Strongly Agree,I can easily manage the navigation of the courses through the mobile app,Strongly Agree, notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,Strongly Agree,I understand the lessons better with the help of course materials in Canvas.,Strongly Agree,Canvas course materials make me interested.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc",Strongly Agree,My instructor knows how to use Canvas.,Strongly Agree,My instructor demonstrated mastery of the subject matter.,Strongly Agree,My instructor encourages me to use Canvas,Strongly Agree,Strongly Agree,Strongly Agree,"Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions.",Strongly Agree,"I can answer the assessment materials (quiz, exam) posted in Canvas.",Strongly Agree,Strongly Agree,Strongly Agree,"I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.)",Strongly Agree,I have been give enough time to accomplish the activities on Canvas.
17,Strongly Agree,I have no any problem logging-in and out my Canvas account.,Strongly Agree,I can access easily the mobile Canvas app.,Strongly Agree,I can access easily the mobile Canvas app.,Strongly Agree,I don't have any problems using available computers in JRU.,Strongly Agree,"I don't have any issues since it's wired, the possibility of disconnection is low.",Strongly Agree,The ITBL is approachable.,Strongly Agree,I don't have any problem accessing the canvas account outside jru.,Strongly Agree,The modules are well organized.,Strongly Agree,Easily manageable.,Strongly Agree,I don't have any problems in desktop version.,Strongly Agree,I don't have any problems in mobile app.,Strongly Agree,The modules are related to our lesson.,Strongly Agree,I can view the modules before class or anytime.,Strongly Agree,Canvas course materials are interesting.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I can review some of the modules.,Strongly Agree,Our instructor are well informed and know how to using canvas.,Strongly Agree,The instructor knows what she's teaching.,Strongly Agree,Our instructor always gives us a task to do in canvas.,Strongly Agree,Strongly Agree,Strongly Agree,"If we need to communicate with instructor, canvas made easy for me.",Strongly Agree,I can answer it in time.,Strongly Agree,Strongly Agree,Strongly Agree,I can easily find the course materials.,Strongly Agree,The time given is a lot so we can complete the activities.
18,Strongly Agree,I have no problem in loggin in and out my Canvas Account.,Strongly Agree,"Yes, I can access my course using the mobile Canvas app.",Strongly Agree,"Yes, I can access my course using the mobile Canvas app",Strongly Agree,"Yes, I can access my Canvas account using the available computers in JRU.",Strongly Agree,"Yes, I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.",Strongly Agree,"Yes, I can easily get help when I have problems with my Canvas account.",Strongly Agree,"Yes, I can access my Canvas account outside JRU. ",Strongly Agree,"Yes, I can clearly understand the lessons on my Canvas modules.",Strongly Agree,"Yes, I recognize that the modules in my course are well organized.",Strongly Agree,"Yes, I can easily manage the navigation of the courses through the desktop version.",Strongly Agree,"Yes, I can easily manage the navigation of the courses through the mobile app.",Strongly Agree,"Yes, I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.",Strongly Agree,"Yes, I understand the lessons better with the help of course materials in Canvas.",Strongly Agree,"Yes, Canvas course materials make me interested.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc.",Strongly Agree,"Yes, My instructor knows how to use Canvas.",Strongly Agree,"Yes, My instructor demonstrated mastery of the subject matter.",Strongly Agree,"Yes, My instructor encourages me to use Canvas.",Strongly Agree,Strongly Agree,Strongly Agree,"Yes, Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions ",Strongly Agree,"Yes, I can answer the assessment materials (quiz, exam) posted in Canvas.",Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.)",Strongly Agree,"Yes, I have been give enough time to accomplish the activities on Canvas. "
19,Strongly Agree,Easy to use,Strongly Agree,I can easily access my course using the mobile canvass app,Strongly Agree,I don't have any issues in accessing my course in Canvas,Strongly Agree,easily to access canvass by gmail account,Strongly Agree,no issues in internet connection,Strongly Agree,absolutely,Strongly Agree,No issues on that situation,Strongly Agree,clear and simple,Strongly Agree,modules are well organized and simple,Strongly Agree,easily to manage ,Strongly Agree,no issues on navigating the courses through mobile ,Strongly Agree,easily to notify the course materials,Strongly Agree,no issues in this situation,Strongly Agree,it is easy and can be downloaded,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,it helps to review before taking exams,Strongly Agree,there  lecture is based from the canvas,Strongly Agree,our professors demonstrated well the lectures,Strongly Agree,by answering the forums and activities,Strongly Agree,Strongly Agree,Strongly Agree,beacuse they've seen our progress,Strongly Agree,on time,Strongly Agree,Strongly Agree,Strongly Agree,no issues in this situation,Strongly Agree,plenty of time
20,Strongly Agree,i have no problems in login and out,Strongly Agree,i have no problems in accessing in mobile canvas app,Strongly Agree,i have no problems in accessing in mobile canvas app,Strongly Agree,i have no problems in accessing my canvas account,Strongly Agree,i have no issues in accessing my canvas account,Strongly Agree,i have no problems with my canvas account,Strongly Agree,i have no problems in accessing in mobile canvas in outside of jru,Strongly Agree,i have no problem lesson in my canvas,Strongly Agree,i have no problem ,Strongly Agree,i have no problem to this ,Strongly Agree,i have no problem to this ,Agree,i dont have connection in classroom,Strongly Agree,i have no problem to this ,Strongly Agree,i have no problem to this ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,i have no problem to this ,Strongly Agree,i have no problem to this ,Strongly Agree,i have no problem to this ,Strongly Agree,i have no problem to this ,Agree,Strongly Agree,Strongly Agree,i have no problem to this ,Strongly Agree,i have no problem to this ,Strongly Agree,Strongly Agree,Strongly Agree,i have no problem to this ,Strongly Agree,i have no problem to this 
