Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,SUBJECT:,SECTION:,COURSE SCHEDULE,I can easily log-in and log-out my Canvas account.,I can access my course using the mobile Canvas app.,I can access my Canvas account using the available computers in JRU.,I have no issues accessing my Canvas account using JRU's wifi connection.,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,I can easily get help when I have problems with my Canvas account.,I can access my Canvas account outside JRU.,I can clearly understand the lessons on my Canvas modules.,I recognize that the modules in my course are well organized.,I can easily manage the navigation of the courses through the desktop version.,I can easily manage the navigation of the courses through the mobile app.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I understand the lessons better with the help of course materials in Canvas.,Canvas course materials make me interested.,The course materials on Canvas helped me prepare for:,,,,My instructor knows how to use Canvas.,My instructor demonstrated mastery of the subject matter.,My instructor encourages me to use Canvas.,Canvas has made it easy for me to:,,,"I can answer the assessment materials (quiz, exam) posted in Canvas.",I find the course materials on Canvas aligned with the:,,,I have been give enough time to accomplish the activities on Canvas.,What I like best in Canvas is/are:,What I like least in Canvas is/are:,I would like to suggest:
10903455882,241444183,2019-08-05 06:07:43,2019-08-05 06:12:09,61.9.107.157,,,,10,FOS C101 - Strategies for Academic Success in College,101GA,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I like the canvas app, its very user friendly and accessible anytime, anywhere.",I dont have anything particular that makes me dislike canvas.,For its user interface to be a bit more simpler
10903357127,241444183,2019-08-05 03:49:03,2019-08-05 04:02:11,175.176.29.1,,,,11,NST C101- National Service Training Program 1,101-M,03:00 AM,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,,,
10903283096,241444183,2019-08-05 02:10:01,2019-08-05 02:11:10,112.205.139.179,,,,12,PSY C101 - Understanding the Self,101K,06:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
10903281648,241444183,2019-08-05 02:07:58,2019-08-05 02:09:37,112.205.139.179,,,,13,NST C101- National Service Training Program 1,101K,08:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
10903280220,241444183,2019-08-05 02:03:59,2019-08-05 02:07:26,112.205.139.179,,,,14,ENG C101- Purposive Communication,101K,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
10903275751,241444183,2019-08-05 01:59:45,2019-08-05 02:03:28,112.205.139.179,,,,15,FOS C101 - Strategies for Academic Success in College,101K,06:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I can access my account even I'm not in the campus,The announcement not showing up in my notiication sometimes,Make more creative modules.
10903269587,241444183,2019-08-05 01:52:31,2019-08-05 01:56:59,112.205.139.179,,,,16,HIS C101- Readings in Philippine History,101K,01:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,I can easily answer my quizzes and other forum that I need to answer,Some announcement are not showing up in my notification,Create a power point moduel not a word and summary the lesson in more important details
10903242092,241444183,2019-08-05 01:17:06,2019-08-05 01:20:05,112.201.11.115,,,,17,"NSC C202 - Science, Technology and Society",202G,01:30 PM,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,organization of the modules,,
10903215855,241444183,2019-08-05 00:44:14,2019-08-05 00:46:23,203.87.133.142,,,,18,PSY C101 - Understanding the Self,103P,01:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Accessible and easy to use,That most professors rely on it too much making face to face discussions less interesting. Students are not paying attention since they think that they can just read the modules at home.    Could've just enrolled to an Open universtiy since the set up is just similar. At least in an open university I'm not oblige to go to school. JRU's current set up is like paying to breath when you can breath on your on. Lol,Stop using this portal for quizes or assigments or discussions basically STOP using this portal!     What's the point of having 3days schedule at school if quizes are done on a WEEKEND?? Where's our FAMILY time? Where's our time to RELAX and time for OURSELVES? You cannot steal that from us!
10903203814,241444183,2019-08-05 00:29:23,2019-08-05 00:43:24,203.87.133.142,,,,19,FOS C101 - Strategies for Academic Success in College,103P,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Accessible and easy to use,That most professors rely on it too much making face to face discussions less interesting. Students are not paying attention since they think that they can just read the modules at home.    Could've just enrolled to an Open universtiy since the set up is just similar. At least in an open university I'm not oblige to go to school. JRU's current set up is like paying to breath when you can breath on your on. Lol,Stop using this portal for quizes or assigments or discussions basically STOP using this portal!     What's the point of having 3days schedule at school if quizes are done on a WEEKEND?? Where's our FAMILY time? Where's our time to RELAX and time for OURSELVES? You cannot steal that from us!
10903200592,241444183,2019-08-05 00:25:22,2019-08-05 00:28:23,112.201.112.196,,,,20,PSY C101 - Understanding the Self,101p,12:00 PM,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,can communicate with my classmates and prof.  using chat in canvas,,
10903199432,241444183,2019-08-05 00:23:42,2019-08-05 00:41:01,120.29.118.129,,,,21,FOS C101 - Strategies for Academic Success in College,103k,04:30 PM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I can read in advance the modules and other stuff in my canvas that we’re going to discuss face-to-face.,There's no real time chat that can be use to communicate directly with my classmates or professors .,Put real time chat. Improve. :))
10903194300,241444183,2019-08-05 00:17:30,2019-08-05 00:28:33,203.87.133.142,,,,22,PHI C102- Ethics,103P,03:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Accessible and easy to use,That most professors rely on this portal much and studying is now being one-sided. Could've just enrolled on online school since the set up is similar.,Stop using this portal for quizez or assigments or discussions basically STOP using this portal!     What's the point of having 3days schedule on school if quizes are done on a WEEKEND?? Where's our family time? Where's our time to relax and time for ourselves? You cannot steal that from us!
10903164974,241444183,2019-08-04 23:42:27,2019-08-04 23:47:08,175.176.24.216,,,,23,PSY C101 - Understanding the Self,102-F,03:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,It can do at home,Some of the instructions are not well explained.,To be more active at face to face and don’t have so much given works at canvas. Its really tiring. Like we have 3 works in one subject and the others so its more stressful doing more essay in many subjects. So lessen the works at canvas.
10903159942,241444183,2019-08-04 23:37:28,2019-08-04 23:41:39,175.176.24.216,,,,24,HIS C101- Readings in Philippine History,102-F,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,It can di at home,Some of the instructions are not fully understandable,To be more active at face to face and lessen the works at the canvas. Were just doing essay in here answering what have we read but i didn’t understand full. I would prepare for face to face
10903157077,241444183,2019-08-04 23:31:41,2019-08-04 23:41:56,110.54.167.81,,,,25,FOS C101 - Strategies for Academic Success in College,103K,04:30 PM,Agree,Agree,Agree,Disagree,N/A,Agree,Agree,Disagree,Agree,Agree,Agree,N/A,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,N/A,Agree,N/A,Agree,Agree,Agree,Agree,Disagree,Easy access,I can take Quizzes anywhere.,"canvas should have notification, or notify us that our prof uploaded some Quizzes, forum or something that important."
10903154151,241444183,2019-08-04 23:29:41,2019-08-04 23:33:11,175.176.24.216,,,,26,ENG C101- Purposive Communication,102-F,01:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,It can di at home,Some of the instructions are not too fully understandable.,To be active face to face
10903153591,241444183,2019-08-04 23:29:37,2019-08-04 23:31:30,182.18.228.191,,,,27,PSY C101 - Understanding the Self,C101F,01:30 PM,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,They give time to do school works,Easy to access,Improve the module
10903149476,241444183,2019-08-04 23:24:05,2019-08-04 23:28:29,175.176.24.216,,,,28,NST C101- National Service Training Program 1,102-F,11:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,It can do at home,I can not fully understand the way it use and the way i learned about the topic at the module.,To be more active at the face to face. To us to fully understand the lesson and not just to work at house doing so much essays.
10903143574,241444183,2019-08-04 23:15:31,2019-08-04 23:23:06,175.176.24.216,,,,29,FOS C101 - Strategies for Academic Success in College,102-F,04:30 PM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,It can do at home,I can not fully understand the way of using it and the way we conduct or learn the modules.,To be active in face to face and not doing too much works at canvas because for me we have no wifi and I’m not the person who has load every day.
10903140563,241444183,2019-08-04 23:13:33,2019-08-04 23:16:36,130.105.206.41,,,,30,HIS C101- Readings in Philippine History,101M,10:30 AM,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,give me some extra grades in specific  course.,,
10903138796,241444183,2019-08-04 23:11:38,2019-08-04 23:16:26,180.191.139.220,,,,31,FOS C101 - Strategies for Academic Success in College,101M,12:00 PM,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,I can do advance reading in my subjects,I like least in canvass is that sometime i don't understand the topic and i didn't know where to ask questions.,I suggest that only use canvas every weekend
10903122471,241444183,2019-08-04 22:34:45,2019-08-04 23:01:59,112.201.68.200,,,,32,"NSC C202 - Science, Technology and Society",202G,01:30 PM,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,That most of the activities can be answered in my own time.,When the activities are only available for a short amount of time.,
10903091852,241444183,2019-08-04 22:13:02,2019-08-04 22:26:12,175.176.17.232,,,,33,"NSC C202 - Science, Technology and Society",202G,1:3 PM,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,,,
10903086883,241444183,2019-08-04 22:08:57,2019-08-04 22:18:54,110.54.129.202,,,,34,FOS C101 - Strategies for Academic Success in College,BSTM 104,01:30 PM,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,canvas teaches us how to study on our own to be able to study even outside the school premises,I got notified every time there are posted tasks.,
10903069850,241444183,2019-08-04 21:48:04,2019-08-04 21:51:58,175.176.17.106,,,,35,PSY C101 - Understanding the Self,102M,10:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Fast way to learn something,Great lesson in their,N/A
10903060831,241444183,2019-08-04 21:36:25,2019-08-04 21:40:44,112.201.79.160,,,,36,HIS C101- Readings in Philippine History,104A,03:00 PM,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Organized and easy to access,"Time limit, Too many activities",Longer time limit
10903052512,241444183,2019-08-04 21:27:09,2019-08-04 21:34:39,112.205.107.193,,,,37,HIS C101- Readings in Philippine History,101LM,12:00 PM,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,I can study home,"Always have an error that cause students cannot pass their activities, exam etc. Some attachment cant be sent some forum can't be answered.","I will suggest that their would be an assessment again to all student who has a problem in their canvass because of the errors that lead them not to pass their activities cause it will affect all our grades. I hope those error  that will be list in the assessment if there will be,resolve and fix well so that no future problems will be done."
10903018374,241444183,2019-08-04 20:37:47,2019-08-04 20:41:58,130.105.186.40,,,,38,NST C101- National Service Training Program 1,BSA-102A,08:30 AM,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Accessible and easy to use,"The mobile app, it's limited.","The developers should improve the canvas app.   I also suggest that if possible, the modules can be accessed without internet connection."
10903014809,241444183,2019-08-04 20:31:55,2019-08-04 20:38:07,175.176.40.242,,,,39,NST C101- National Service Training Program 1,101DA,11:30 AM,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Easy and can access inside and outside the school.,The modules made easy to read anywhere I go.,To always send me a notification of quizzes and other activities in Canvas.
10902995486,241444183,2019-08-04 19:58:22,2019-08-04 20:08:12,120.29.84.182,,,,40,FOS C101 - Strategies for Academic Success in College,ab-psychology-103p,12:30 PM,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,accessible,"the codes, mobile app",have the activities face to face
10902989043,241444183,2019-08-04 19:53:29,2019-08-04 19:59:26,112.201.163.220,,,,41,NST C101- National Service Training Program 1,101M,03:00 AM,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Quite doing my performance task and quizes. And easy to use and being able to see and keep with your grades.,I can find a way to set up a quiz such that the system knows students only have to answer a subset of the question given.,I would like to suggest the learning tools see the knowledge on how to incorporate learning tools in canvas course.
10902988570,241444183,2019-08-04 19:51:37,2019-08-04 20:01:04,124.105.228.148,,,,42,ITC C203 - Social and Professional Issues in IT,201I,04:30 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,You can access in your phone,Some exercises cant upload a file from our phone,Make it more easier to ise
