Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44
11046525287,247032279,10/07/2019 12:45,10/07/2019 12:48,112.201.169.23,,,,14,ENG C101- Purposive Communication,BSTM1-1,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
11046523374,247032279,10/07/2019 12:43,10/07/2019 12:45,112.201.169.23,,,,15,HIS C101- Readings in Philippine History,BSTM1-1,9:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
11046520689,247032279,10/07/2019 12:40,10/07/2019 12:42,112.201.169.23,,,,16,FOS C101 - Strategies for Academic Success in College,BSTM1-1,3:00 PM,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
11046368511,247032279,10/07/2019 10:06,10/07/2019 10:08,114.108.241.58,,,,17,PHI C102- Ethics,1204s,9:30 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,mudules,aswer exam,
11046368101,247032279,10/07/2019 10:05,10/07/2019 10:07,114.108.241.58,,,,18,HIS C101- Readings in Philippine History,104s,10:00 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
11045700733,247032279,10/06/2019 22:00,10/06/2019 22:04,180.190.47.135,,,,19,ENG C101- Purposive Communication,103X ,10:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,,,
11045529398,247032279,10/06/2019 18:24,10/06/2019 18:26,112.205.105.55,,,,20,ENG C101- Purposive Communication,ENG C101 - 105A,7:30 AM,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
11045487688,247032279,10/06/2019 17:22,10/06/2019 17:24,180.190.94.20,,,,21,FOS C101 - Strategies for Academic Success in College,104X,4:30 PM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,N/A,Strongly Agree,Agree,Agree,Agree,Agree,N/A,Strongly Agree,Agree,Strongly Agree,N/A,Agree,Accessible,N/A,N/A
11045486197,247032279,10/06/2019 17:20,10/06/2019 17:22,180.190.94.20,,,,22,HIS C101- Readings in Philippine History,101LM,12:00 PM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,N/A,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,N/A,Agree,Disagree,Strongly Disagree,N/A,Agree,Accessible,Deadlines,N/A
11045484758,247032279,10/06/2019 17:18,10/06/2019 17:20,180.190.94.20,,,,23,ENG C101- Purposive Communication,104X,1:30 PM,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,N/A,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A,N/A,Strongly Agree,Strongly Agree,Agree,N/A,Strongly Agree,Accessible,N/A,N/A
11045483261,247032279,10/06/2019 17:16,10/06/2019 17:18,180.190.94.20,,,,24,NST C101- National Service Training Program 1,104TM,11:30 AM,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,N/A,Strongly Agree,Agree,Agree,Agree,Strongly Agree,N/A,Strongly Agree,Agree,Agree,N/A,Strongly Agree,Accessible,N/A,N/A
11045480675,247032279,10/06/2019 17:12,10/06/2019 17:15,180.190.94.20,,,,25,PHI C102- Ethics,104X,1:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,N/A,Agree,Disagree,N/A,Disagree,Disagree,Disagree,Agree,Agree,Agree,N/A,Disagree,Accessible,Deadlines,N/A
11044345509,247032279,10/05/2019 18:53,10/05/2019 18:55,130.105.189.143,,,,26,NST C101- National Service Training Program 1,101-P,8:30 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,,,
11044330658,247032279,10/05/2019 18:34,10/05/2019 18:41,175.176.24.121,,,,27,NST C101- National Service Training Program 1,101-F ,8:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,easy access ,none,none
11044040039,247032279,10/05/2019 12:21,10/05/2019 12:26,114.108.241.58,,,,28,HIS C101- Readings in Philippine History,101R,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,i can easily access inside and outside the school,sometimes it bugs of has an error,fix the bugs and error
11044039497,247032279,10/05/2019 12:19,10/05/2019 12:23,114.108.241.58,,,,29,HIS C101- Readings in Philippine History,101R,12:33 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,everything,nothing,none
11044039318,247032279,10/05/2019 12:19,10/05/2019 12:26,114.108.241.58,,,,30,HIS C101- Readings in Philippine History,101R,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
11044039291,247032279,10/05/2019 12:20,10/05/2019 12:38,203.160.174.174,,,,31,HIS C101- Readings in Philippine History,101R,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
11044039205,247032279,10/05/2019 12:19,10/05/2019 12:22,203.160.174.174,,,,32,HIS C101- Readings in Philippine History,101r,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,,,
11044038771,247032279,10/05/2019 12:20,10/05/2019 12:22,203.160.174.174,,,,33,HIS C101- Readings in Philippine History,101R,1:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,
11044038519,247032279,10/05/2019 12:19,10/05/2019 12:25,203.160.174.174,,,,34,HIS C101- Readings in Philippine History,101R,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,it gives an advance learning material for the student to be prepared on the classroom discussion,it can't be connected without the use of internet connection,canvas should give a long time for the students to become ready  
11044037973,247032279,10/05/2019 12:19,10/05/2019 12:21,203.160.174.174,,,,35,HIS C101- Readings in Philippine History,101R,12:19 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,i can access online,none,none
11044037694,247032279,10/05/2019 12:18,10/05/2019 12:22,114.108.241.58,,,,36,HIS C101- Readings in Philippine History,101-r,12:01 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
11044037445,247032279,10/05/2019 12:18,10/05/2019 12:22,114.108.241.58,,,,37,HIS C101- Readings in Philippine History,101R,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,it is easy to use,nothing,a faster internet in the campus lol 
11044037359,247032279,10/05/2019 12:18,10/05/2019 12:20,114.108.241.58,,,,38,HIS C101- Readings in Philippine History,101R,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,,,
11044037309,247032279,10/05/2019 12:18,10/05/2019 12:20,114.108.241.58,,,,39,HIS C101- Readings in Philippine History,101r,12:20 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,QUIZES,PERFORMANCE TASK,canvas should be double s "CANVASS"
11044037172,247032279,10/05/2019 12:18,10/05/2019 12:21,203.160.174.174,,,,40,HIS C101- Readings in Philippine History,101 R,12:20 PM,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,,
11044036998,247032279,10/05/2019 12:17,10/05/2019 12:20,114.108.241.58,,,,41,HIS C101- Readings in Philippine History,101-R,12:20 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,quiz,perfomance task,canvas should be double s "CANVASS"
11044036963,247032279,10/05/2019 12:16,10/05/2019 12:20,114.108.241.58,,,,42,HIS C101- Readings in Philippine History,101R,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,easy access,,
11044036924,247032279,10/05/2019 12:16,10/05/2019 12:20,203.160.174.174,,,,43,HIS C101- Readings in Philippine History,101R,12:00 PM,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
11044036757,247032279,10/05/2019 12:17,10/05/2019 12:21,203.160.174.174,,,,44,HIS C101- Readings in Philippine History,101R,12:19 PM,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
11044036741,247032279,10/05/2019 12:16,10/05/2019 12:19,114.108.241.58,,,,45,HIS C101- Readings in Philippine History,101R,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,
11044036730,247032279,10/05/2019 12:16,10/05/2019 12:22,203.160.174.174,,,,46,HIS C101- Readings in Philippine History,101r,12:00 PM,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,N/A,Agree,Agree,N/A,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
11044036685,247032279,10/05/2019 12:16,10/05/2019 12:22,203.160.174.174,,,,47,HIS C101- Readings in Philippine History,101 R,12:01 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NONE,NONE,NONE  
